amp	num_sortie	nb_moyen	period_echant	annee	mois	jour	saison	type_J	heure	meteoAM	nebulositeAM	dir_ventAM	force_ventAM	merAM	lune	zone	statut_PAMPA	groupe	type_bateau	taille_bateau	immat	nb_pers	nbre_ligne	mouillage	nature_fond	latitude	longitude	act1	categ_act	act2	categ_act_1	quest_info	sens1	sens2
CB	CB2008_15	2	2008	2008	6	21	ete	JW	NA	NA	1	W	2	1	LD	21_4	I1	E	NA	NA	NA	0	0	NA	NA	0	0	NA	NA	NA	NA	non	Carry->Laurons	Carry->Corbieres
CB	CB2008_15	2	2008	2008	6	21	ete	JW	NA	NA	1	W	2	1	LD	21_5	I1	E	M	NA	inconnu	1	1	NA	NA	0	0	PE	peche	NA	NA	non	Carry->Laurons	Carry->Corbieres
CB	CB2008_15	2	2008	2008	6	21	ete	JW	NA	NA	1	W	2	1	LD	21_5	I1	E	M	NA	inconnu	2	2	NA	NA	0	0	PE	peche	NA	NA	non	Carry->Laurons	Carry->Corbieres
CB	CB2008_15	2	2008	2008	6	21	ete	JW	NA	NA	1	W	2	1	LD	21_5	I1	E	M	NA	inconnu	2	2	NA	NA	0	0	PE	peche	NA	NA	non	Carry->Laurons	Carry->Corbieres
CB	CB2008_15	2	2008	2008	6	21	ete	JW	NA	NA	1	W	2	1	LD	21_6	I1	E	M	NA	inconnu	-999	-999	NA	NA	0	0	PRO	peche_pro	NA	NA	non	Carry->Laurons	Carry->Corbieres
CB	CB2008_15	2	2008	2008	6	21	ete	JW	NA	NA	1	W	2	1	LD	21_7	I1	E	NA	NA	NA	0	0	NA	NA	0	0	NA	NA	NA	NA	non	Carry->Laurons	Carry->Corbieres
CB	CB2008_15	2	2008	2008	6	21	ete	JW	NA	NA	1	W	2	1	LD	21_8	I1	E	M	NA	inconnu	1	1	NA	NA	0	0	PE	peche	NA	NA	non	Carry->Laurons	Carry->Corbieres
CB	CB2008_15	2	2008	2008	6	21	ete	JW	NA	NA	1	W	2	1	LD	21_8	I1	E	M	NA	inconnu	2	2	NA	NA	0	0	PE	peche	NA	NA	non	Carry->Laurons	Carry->Corbieres
CB	CB2008_15	2	2008	2008	6	21	ete	JW	NA	NA	1	W	2	1	LD	21_8	I1	E	M	NA	inconnu	2	2	NA	NA	0	0	PE	peche	NA	NA	non	Carry->Laurons	Carry->Corbieres
CB	CB2008_15	2	2008	2008	6	21	ete	JW	NA	NA	1	W	2	1	LD	21_8	I1	E	PI	NA	NA	2	-999	NA	NA	0	0	CH	peche	NA	NA	non	Carry->Laurons	Carry->Corbieres
CB	CB2008_15	2	2008	2008	6	21	ete	JW	NA	NA	1	W	2	1	LD	21_8	I1	E	M	NA	inconnu	3	-999	RO	NA	0	0	PS	plaisance	NA	NA	non	Carry->Laurons	Carry->Corbieres
CB	CB2008_15	2	2008	2008	6	21	ete	JW	NA	NA	1	W	2	1	LD	21_9	I1	E	M	NA	inconnu	1	1	NA	NA	0	0	PE	peche	NA	NA	non	Carry->Laurons	Carry->Corbieres
CB	CB2008_15	2	2008	2008	6	21	ete	JW	NA	NA	1	W	2	1	LD	21_9	I1	E	M	NA	inconnu	1	1	NA	NA	0	0	PE	peche	NA	NA	non	Carry->Laurons	Carry->Corbieres
